email_length,number_of_links,number_of_attachments,presence_of_urgent_keywords,sender_domain_type,html_content_flag,email_text,spf_status,dkim_status,dmarc_status,phishing_email
1091.99,0.896,0.0864,Absent,Suspicious/Spoofed,Present,Thank you for your payment. Your receipt for invoice #8291 is attached for your records. Thank you for your payment. Your receipt for invoice #8291 is attached for your records. Thank you for your payment. Your receipt for invoice #8291 is attached for your records. Thank you for your payment. Your receipt for invoice #8291 is attached for your records. Thank you for your payment. Your receipt for invoice #8291 is attached for your records. Thank you for your payment. Your receipt for invoice #8291 is attached for your records. Thank you for your payment. Your receipt for invoice #8291 is attached for your records. Thank you for your payment. Your receipt for invoice #8291 is attached for your records. Thank you for your payment. Your receipt for invoice #8291 is attached for your records. Thank you for your payment. Your receipt for invoice #8291 is attached for your records. Thank you for your payment. Your receipt for invoice #8291 is attached for your records. Thank you for your payment. Your receipt for invoice #8291 is attached for your records. Thank you for your paym,Pass,Pass,Pass,Legitimate
2110.22,4.02,0.88,Absent,Trusted/Corporate,Absent,You have received an encrypted document. Click http://doc-share-login.com/view to sign in with your email password and view the file. You have received an encrypted document. Click http://doc-share-login.com/view to sign in with your email password and view the file. You have received an encrypted document. Click http://doc-share-login.com/view to sign in with your email password and view the file. You have received an encrypted document. Click http://doc-share-login.com/view to sign in with your email password and view the file. You have received an encrypted document. Click http://doc-share-login.com/view to sign in with your email password and view the file. You have received an encrypted document. Click http://doc-share-login.com/view to sign in with your email password and view the file. You have received an encrypted document. Click http://doc-share-login.com/view to sign in with your email password and view the file. You have received an encrypted document. Click http://doc-share-login.com/view to sign in with your email password and view the file. You have received an encrypted document. Click http://doc-share-login.com/view to sign in with your email password and view the file. You have received an encrypted document. Click http://doc-share-login.com/view to sign in with your email password and view the file. You have received an encrypted document. Click http://doc-share-login.com/view to sign in with your email password and view the file. You have received an encrypted document. Click http://doc-share-login.com/view to sign in with your email password and view the file. You have received an encrypted document. Click http://doc-share-login.com/view to sign in with your email password and view the file. You have received an encrypted document. Click http://doc-share-login.com/view to sign in with your email password and view the file. You have received an encrypted document. Click http://doc-share-login.com/view to sign in with your email password and view the file. You have received an encrypted document. Click http://doc-share-login.com/view to sign in with your,Fail,Fail,None,Phishing
242.89,1.79,0.908,Absent,Free-Webmail/Common Provider,Present,Your order #94012 has shipped! Track your package delivery status online or view receipt. Your order #94012 has shipped! Track your package delivery status online or view receipt. Your order #94012 has shipped! Track your package delivery sta,Pass,Pass,Pass,Legitimate
960.16,1.06,0.029,Absent,Trusted/Corporate,Present,Thank you for your payment. Your receipt for invoice #8291 is attached for your records. Thank you for your payment. Your receipt for invoice #8291 is attached for your records. Thank you for your payment. Your receipt for invoice #8291 is attached for your records. Thank you for your payment. Your receipt for invoice #8291 is attached for your records. Thank you for your payment. Your receipt for invoice #8291 is attached for your records. Thank you for your payment. Your receipt for invoice #8291 is attached for your records. Thank you for your payment. Your receipt for invoice #8291 is attached for your records. Thank you for your payment. Your receipt for invoice #8291 is attached for your records. Thank you for your payment. Your receipt for invoice #8291 is attached for your records. Thank you for your payment. Your receipt for invoice #8291 is attached for your records. Thank you for your payment. Your receipt for invoice #8291 is attached,Pass,Pass,None,Legitimate
713.57,1.25,0.0415,Absent,Suspicious/Spoofed,Present,Security Advisory: Please be aware of impersonation scams. Government officials and banks will never ask for your password or OTP over the phone. Security Advisory: Please be aware of impersonation scams. Government officials and banks will never ask for your password or OTP over the phone. Security Advisory: Please be aware of impersonation scams. Government officials and banks will never ask for your password or OTP over the phone. Security Advisory: Please be aware of impersonation scams. Government officials and banks will never ask for your password or OTP over the phone. Security Advisory: Please be aware of impersonation scams. Government officials and banks will never ask for your password or OTP,Pass,Pass,Pass,Legitimate
1495.45,3.73,0.244,Absent,Trusted/Corporate,Present,"Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think. Hi, here is the updated design mockup for the landing page. Let me know what you think.",Pass,Pass,Pass,Legitimate
499.61,1.21,0.327,Absent,Free-Webmail/Common Provider,Present,Your order #94012 has shipped! Track your package delivery status online or view receipt. Your order #94012 has shipped! Track your package delivery status online or view receipt. Your order #94012 has shipped! Track your package delivery status online or view receipt. Your order #94012 has shipped! Track your package delivery status online or view receipt. Your order #94012 has shipped! Track your package delivery status online or view receipt. Your order #94012 has shipped! Track your package,Pass,Pass,Pass,Legitimate
1261.82,3.61,0.0511,Absent,Suspicious/Spoofed,Present,Your order #94012 has shipped! Track your package delivery status online or view receipt. Your order #94012 has shipped! Track your package delivery status online or view receipt. Your order #94012 has shipped! Track your package delivery status online or view receipt. Your order #94012 has shipped! Track your package delivery status online or view receipt. Your order #94012 has shipped! Track your package delivery status online or view receipt. Your order #94012 has shipped! Track your package delivery status online or view receipt. Your order #94012 has shipped! Track your package delivery status online or view receipt. Your order #94012 has shipped! Track your package delivery status online or view receipt. Your order #94012 has shipped! Track your package delivery status online or view receipt. Your order #94012 has shipped! Track your package delivery status online or view receipt. Your order #94012 has shipped! Track your package delivery status online or view receipt. Your order #94012 has shipped! Track your package delivery status online or view receipt. Your order #94012 has shipped! Track your package delivery status online or view receipt. Your order #94012 has shipped! Track your package delivery status online or view receipt. Y,Pass,Pass,Pass,Legitimate
2681.97,1.32,0.462,Absent,Trusted/Corporate,Absent,Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your funds. Security Alert: Unauthorized login attempt detected from unknown IP. Update your password now at http://paypal-verify-security.net/auth to secure your fu,Fail,Fail,Fail,Phishing
1766.45,1.43,0.00645,Absent,Free-Webmail/Common Provider,Present,Security Advisory: Please be aware of impersonation scams. Government officials and banks will never ask for your password or OTP over the phone. Security Advisory: Please be aware of impersonation scams. Government officials and banks will never ask for your password or OTP over the phone. Security Advisory: Please be aware of impersonation scams. Government officials and banks will never ask for your password or OTP over the phone. Security Advisory: Please be aware of impersonation scams. Government officials and banks will never ask for your password or OTP over the phone. Security Advisory: Please be aware of impersonation scams. Government officials and banks will never ask for your password or OTP over the phone. Security Advisory: Please be aware of impersonation scams. Government officials and banks will never ask for your password or OTP over the phone. Security Advisory: Please be aware of impersonation scams. Government officials and banks will never ask for your password or OTP over the phone. Security Advisory: Please be aware of impersonation scams. Government officials and banks will never ask for your password or OTP over the phone. Security Advisory: Please be aware of impersonation scams. Government officials and banks will never ask for your password or OTP over the phone. Security Advisory: Please be aware of impersonation scams. Government officials and banks will never ask for your password or OTP over the phone. Security Advisory: Please be aware of impersonation scams. Government officials and banks will never ask for your password or OTP over the phone. Security Advisory: Please be aware of impersonation scams. Government officials and banks will never ask for your password or OTP over the phone. Security Advis,Pass,None,Pass,Legitimate
